item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,gmv,apparel_rn,gender_rn,fop_rn
"costco_clothing, luggage & handbags_weatherproof_weatherproof vintage shorts",costco,"clothing, luggage & handbags",Apparel,Bottoms,Shorts,Unisex/Undefined,tennis,null,60484234,1,26,3
"costco_clothing, luggage & handbags_32d skort",costco,"clothing, luggage & handbags",Apparel,Bottoms,Skirts,Unisex/Undefined,volleyball,null,17908947,1,119,5
"costco_clothing, luggage & handbags_adidas tight",costco,"clothing, luggage & handbags",Apparel,Bottoms,Tights,Unisex/Undefined,tennis,null,48316879,1,31,5
"costco_clothing, luggage & handbags_calvin klein_calvin klein bra",costco,"clothing, luggage & handbags",Apparel,Bras,null,Unisex/Undefined,training,null,38196232,1,41,12
"costco_clothing, luggage & handbags_32d dress",costco,"clothing, luggage & handbags",Apparel,Dresses,null,Unisex/Undefined,cheer_dance,null,24762908,1,77,9
"costco_clothing, luggage & handbags_eddie bauer_unknown eddie bauer product",costco,"clothing, luggage & handbags",Apparel,Jackets & Outerwear,null,Unisex/Undefined,basketball,null,1085661487,1,1,1
"costco_clothing, luggage & handbags_fila_unknown fila product",costco,"clothing, luggage & handbags",Apparel,Tops,null,Unisex/Undefined,basketball,null,395870565,1,2,2
"costco_clothing, luggage & handbags_clothing for boys_sleepwear for boys___felina_felina ladies' velour track suit",costco,"clothing, luggage & handbags > clothing for boys > sleepwear for boys >  > ",Apparel,Track Suits,null,Kids,sportswear,null,56929451,1,1,9
"costco_clothing, luggage & handbags_k.bell_k bell ladies' no show sock, 10-pair, assorted colors",costco,"clothing, luggage & handbags",Apparel,Underwear,null,Women's,sportswear,null,200010896,1,1,2
"costco_clothing, luggage & handbags_skechers_unknown skechers product",costco,"clothing, luggage & handbags",Footwear,null,null,Unisex/Undefined,basketball,outdoor_soccer,120361276,1,13,1
dicks_sporting_goods_athletic clothing_men's clothing_men's shorts_shorts_nike_nike men's club french terry flow shorts,dicks_sporting_goods,athletic clothing > men's clothing > men's shorts > shorts,Apparel,Bottoms,Baselayer Bottoms,Men's,basketball,null,23378401,1,59,30
dicks_sporting_goods_athletic clothing_men's clothing_men's pants_pants_nike_nike men's sportswear club fleece joggers,dicks_sporting_goods,athletic clothing > men's clothing > men's pants > pants,Apparel,Bottoms,Fleece Bottoms,Men's,training,null,226277992,1,4,2
dicks_sporting_goods_shoes_men's shoes_men's cleats_cleats_men's football cleats_nike_nike vapor edge pro 360 2 football cleats,dicks_sporting_goods,shoes > men's shoes > men's cleats > cleats > men's football cleats,Apparel,Bottoms,Other Bottoms,Men's,soccer,null,87218968,1,12,1
dicks_sporting_goods_athletic clothing_women's clothing_women's pants_pants_nike_nike sportswear women's essential fleece pants,dicks_sporting_goods,athletic clothing > women's clothing > women's pants > pants,Apparel,Bottoms,Pants,Women's,training,null,97647534,1,4,6
dicks_sporting_goods_athletic clothing_women's clothing_shorts_women's shorts_nike_nike women's pro 3” shorts,dicks_sporting_goods,athletic clothing > women's clothing > shorts > women's shorts,Apparel,Bottoms,Shorts,Women's,basketball,null,192905341,1,2,2
dicks_sporting_goods_athletic clothing_men's clothing_men's swimsuits_nike_nike men's core contend 8” volley swim trunks,dicks_sporting_goods,athletic clothing > men's clothing > men's swimsuits,Apparel,Bottoms,Skirts,Men's,volleyball,null,8492657,1,336,4
dicks_sporting_goods_athletic clothing_women's clothing_women's pants_pants_nike_nike women's dri-fit mid-rise tights,dicks_sporting_goods,athletic clothing > women's clothing > women's pants > pants,Apparel,Bottoms,Tights,Women's,soccer,null,18172902,1,55,8
dicks_sporting_goods_shoes_men's shoes_men's cleats_cleats_men's track & field cleats_nike_nike zoom rival sprint track and field shoes,dicks_sporting_goods,shoes > men's shoes > men's cleats > cleats > men's track & field cleats,Apparel,Bras,null,Men's,running,null,39417592,1,30,1
"dicks_sporting_goods_athletic clothing_women's clothing_women's athletic skirts, skorts & dresses_fp movement_fp movement women's hot shot mini dress",dicks_sporting_goods,"athletic clothing > women's clothing > women's athletic skirts, skorts & dresses",Apparel,Dresses,null,Women's,volleyball,null,7839024,1,186,6
dicks_sporting_goods_athletic clothing_women's clothing_jackets & vests_the north face_the north face women's osito fleece jacket,dicks_sporting_goods,athletic clothing > women's clothing > jackets & vests,Apparel,Jackets & Outerwear,null,Women's,hiking,null,72093714,1,7,1
dicks_sporting_goods_athletic clothing_men's clothing_hoodies & sweatshirts_nike_nike men's sportswear club fleece hoodie,dicks_sporting_goods,athletic clothing > men's clothing > hoodies & sweatshirts,Apparel,Tops,null,Men's,basketball,null,460813021,1,1,1
dicks_sporting_goods_athletic clothing_men's clothing_nike_mnswclubjg/b,dicks_sporting_goods,athletic clothing > men's clothing,Apparel,Track Suits,null,Men's,basketball,null,1188753,1,2080,1197
dicks_sporting_goods_athletic clothing_athletic & outdoor accessories_socks_nike_nike dri-fit everyday plus cushioned training crew socks - 6 pack,dicks_sporting_goods,athletic clothing > athletic & outdoor accessories > socks,Apparel,Underwear,null,Men's,training,null,425210498,1,2,1
