item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,gmv,apparel_rn,gender_rn,fop_rn
"amazon_clothing, shoes & jewelry_women_women's clothing_women's activewear_women's athletic clothing sets_rubzoof_rubzoof sweatsuits for women sets 2 piece outfits casual lounge sets two piece sweat suits s-3xl",amazon_leia,"clothing, shoes & jewelry > women > women's clothing > women's activewear > women's athletic clothing sets",Apparel,Track Suits,null,Women's,cheer_dance,null,4427021.0,2,766,97
"lululemon_men's clothes_pants_joggers_lululemon_city sweat jogger, grey sage",lululemon,men's clothes > pants > joggers,Apparel,Bottoms,Fleece Bottoms,Men's,training,null,1.2516174E7,1,18,30
macys_men_finish line men's shoes_skechers_men's skech-lite pro - clear rush casual sneakers from finish line,macys,men > finish line men's shoes,Footwear,null,null,Men's,cricket,cross_training,157863.0,957,2589,2
kohls_underwear_vanity fair lingerie_women's vanity fair lingerie® illumination string bikini panty 18108,kohls,underwear,Apparel,Underwear,null,Women's,swimming,null,2.3596495E7,4,13,1
"target_sports & outdoors_exercise & fitness_boxing & kickboxing_everlast worldwide, inc._everlast pro style elite 12oz training boxing gloves - white",target,sports & outdoors > exercise & fitness > boxing & kickboxing,Apparel,Other Apparel,null,Men's,boxing,null,3289192.0,92,231,1
abercrombie_and_fitch_girls_clearance_tops_hoodies_&_sweatshirts_abercrombie kids_legging-friendly graphic crew sweatshirt,abercrombie_and_fitch,girls > clearance > tops > hoodies_&_sweatshirts,Apparel,Tops,null,Kids,cheer_dance,null,3122846.0,26,10,1
scheels_shirts_nike_men's nike sportswear club t-shirt,scheels,shirts,Apparel,Tops,null,Men's,softball,null,7831094.0,6,8,1
"amazon_clothing, shoes & jewelry_women_women's shoes_women's fashion sneakers_skechers_skechers sport women's whimsical dream sneaker",amazon_leia,"clothing, shoes & jewelry > women > women's shoes > women's fashion sneakers",Footwear,null,null,Women's,wrestling,training_other,176794.0,4933,21168,1
macys_shoes_flats____journee collection_women's tullie loafer,macys,shoes > flats >  >  > ,Footwear,null,null,Women's,sportswear,sportswear_other,5257318.0,30,81,2
champs_sports_shoes_casual sneakers_casual sneakers_puma_puma mb.01 - boys' toddler,champs_sports,shoes > casual sneakers > casual sneakers,Footwear,null,null,Kids,walking,null,8995485.0,22,17,2
kohls_mens_kids_footwear_vans_vans® asher kids' skate shoes,kohls,mens > kids > footwear,Footwear,null,null,Men's,sportswear,sportswear_skateboarding,3847271.0,49,251,2
dicks_sporting_goods_shoes_women's shoes_women's cleats_cleats_women's softball cleats_new balance_new balance women's fusev2 softball turf shoes,dicks_sporting_goods,shoes > women's shoes > women's cleats > cleats > women's softball cleats,Footwear,null,null,Women's,softball,training_other,450770.0,345,797,1
"macys_men_shorts_club room_men's regular-fit 9 4-way stretch shorts, created for macy's",macys,men > shorts,Apparel,Bottoms,Shorts,Men's,basketball,null,1.5614868E7,1,12,6
champs_sports_shoes_casual sneakers_casual sneakers_nike_nike crater impact - men's,champs_sports,shoes > casual sneakers > casual sneakers,Footwear,null,null,Men's,basketball,outdoor_soccer,2479903.0,59,53,1
macys_shoes_sneakers & athletic shoes_guess_women's miram platform lace-up court sneakers,macys,shoes > sneakers & athletic shoes,Footwear,null,null,Women's,basketball,training_other,755159.0,205,785,1
macys_brands_finish line men's shoes_asics_men's gel-venture 10 trail running sneakers from finish line,macys,brands > finish line men's shoes,Footwear,null,null,Men's,running,trail_running,190117.0,803,2203,1
foot_locker_shoes_clogs_clogs_crocs_crocs pokemon classic clogs charizard + blastoise - men's,foot_locker,shoes > clogs > clogs,Footwear,null,null,Men's,flip_flops,null,485877.0,343,467,1
"macys_all_activewear____adidas_women's essentials warm-up slim tapered 3-stripes track pants, xs-4x",macys,all > activewear >  >  > ,Apparel,Bottoms,Baselayer Bottoms,Men's,basketball,null,2551857.0,2,206,39
dicks_sporting_goods_shoes_men's shoes_men's cleats_cleats_men's football cleats_nike_nike men's alpha menace 4 shark football cleats,dicks_sporting_goods,shoes > men's shoes > men's cleats > cleats > men's football cleats,Footwear,null,null,Men's,soccer,outdoor_soccer,2.0060275E7,10,17,1
champs_sports_shoes_casual sneakers_casual tennis sneakers_adidas_adidas originals gazelle indoor - women's,champs_sports,shoes > casual sneakers > casual tennis sneakers,Apparel,Other Apparel,null,Men's,swimming,null,591315.0,133,207,1
foot_locker_shoes_casual sneakers_casual sneakers_new balance_new balance 9060 - boys' grade school,foot_locker,shoes > casual sneakers > casual sneakers,Footwear,null,null,Kids,lacrosse,null,4.3481023E7,9,6,1
nordstrom_men_all men's shoes_rockport_mens act s:cloudswift:rock/ turme,nordstrom,men > all men's shoes,Footwear,null,null,Men's,american_football,cross_training,138240.0,1803,1853,1
lululemon_women's clothes_shirts_tank tops_lululemon_cool racerback ii *luon,lululemon,women's clothes > shirts > tank tops,Apparel,Tops,null,Women's,golf,null,7730329.0,32,87,2
"target_clothing, shoes & accessories_toddler clothing_toddler boys' clothing_tops_cat & jack_toddler boys' long sleeve jersey pocket t-shirt - cat & jack",target,"clothing, shoes & accessories > toddler clothing > toddler boys' clothing > tops",Apparel,Tops,null,Kids,baseball,null,3248620.0,355,153,2
dicks_sporting_goods_athletic clothing_men's clothing_men's shirts & tops_shirts & tops_carhartt_carhartt men's garment dye hoodie,dicks_sporting_goods,athletic clothing > men's clothing > men's shirts & tops > shirts & tops,Apparel,Tops,null,Men's,sportswear,null,6596855.0,38,116,1
"costco_clothing, luggage & handbags_spdr ss tee",costco,"clothing, luggage & handbags",Apparel,Tops,null,Unisex/Undefined,running,null,8436414.0,30,48,2
foot_locker_shoes_casual sneakers_casual sneakers_nike_nike air vapormax flyknit 2021 - women's,foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Dresses,null,Women's,training,null,1.7676281E7,1,6,4
academy_sports_apparel_womens apparel_womens skorts_bcg_bcg women's taped tennis skort,academy_sports,apparel > womens apparel > womens skorts,Apparel,Bottoms,Skirts,Women's,tennis,null,1308708.0,2,129,24
champs_sports_shoes_casual sneakers_casual running sneakers_nike_nike air max 270 - women's,champs_sports,shoes > casual sneakers > casual running sneakers,Footwear,null,null,Women's,running,road_running,7201456.0,27,7,2
lululemon_shoes_lululemon_women's cityverse sneaker,lululemon,shoes,Footwear,null,null,Women's,training,yoga,8559593.0,4,77,1
foot_locker_shoes_sandals_sandals_nike_nike victori one slides - men's,foot_locker,shoes > sandals > sandals,Apparel,Other Apparel,null,Men's,volleyball,null,1.6617457E7,16,23,1
abercrombie_and_fitch_boys_knits_abercrombie kids_essential long-sleeve icon crew tee,abercrombie_and_fitch,boys > knits,Apparel,Tops,null,Men's,field_hockey,null,1626601.0,73,62,2
lululemon_shoes_lululemon_women's strongfeel training shoe,lululemon,shoes,Footwear,null,null,Women's,basketball,cross_training,1.1849585E7,2,45,1
dicks_sporting_goods_shoes_women's shoes_women's athletic & sneakers_athletic shoes_women's_new balance_new balance 480 shoes,dicks_sporting_goods,shoes > women's shoes > women's athletic & sneakers > athletic shoes > women's,Footwear,null,null,Women's,basketball,cross_training,2.4598525E7,6,12,2
dicks_sporting_goods_shoes_men's shoes_shoe accessories_insoles_spenco_spenco ground control low arch insoles,dicks_sporting_goods,shoes > men's shoes > shoe accessories > insoles,Footwear,null,null,Men's,training,training_other,676857.0,283,869,2
hoka_shoes_hoka_kaha 2 gtx,hoka,shoes,Footwear,null,null,Unisex/Undefined,basketball,performance_basketball,1.147868E7,2,1,1
scheels_sneakers & athletic shoes_new balance_women's new balance fresh foam velo v4 softball shoes,scheels,sneakers & athletic shoes,Footwear,null,null,Kids,baseball,cross_training,173462.0,260,184,2
hoka_shoes_womens fitness_hoka_kawana 2,hoka,shoes > womens fitness,Apparel,Other Apparel,null,Women's,training,null,1.752298E7,2,5,1
kids_foot_locker_shoes_casual sneakers_casual sneakers_jordan_jordan air jordan 1 mid - girls' grade school,kids_foot_locker,shoes > casual sneakers > casual sneakers,Footwear,null,null,Men's,walking,null,3803625.0,23,20,2
nordstrom_women_shoes_adidas_on cloud 5 running shoe (women),nordstrom,women > shoes,Apparel,Other Apparel,null,Women's,gymnastics,null,2181877.0,34,91,1
"target_clothing, shoes & accessories_women's clothing_tops_t-shirts_wild fable_women's short sleeve t-shirt - wild fable",target,"clothing, shoes & accessories > women's clothing > tops > t-shirts",Apparel,Tops,null,Women's,field_hockey,null,4.5705809E7,10,13,1
kohls_mens_clothing_tops_tops & tees_nike_nike_men's nike therma-fit graphic training hoodie,kohls,mens > clothing > tops > tops & tees > nike,Apparel,Tops,null,Men's,soccer,null,4.3200087E7,5,9,1
kids_foot_locker_shoes_casual sneakers_casual basketball sneakers_jordan_jordan air jordan 1 mid - girls' grade school,kids_foot_locker,shoes > casual sneakers > casual basketball sneakers,Footwear,null,null,Kids,basketball,training_other,264895.0,134,166,1
champs_sports_shoes_casual sneakers_casual sneakers_jordan_jordan retro 13 - boys' grade school,champs_sports,shoes > casual sneakers > casual sneakers,Footwear,null,null,Kids,training,cross_training,1.4418373E7,16,12,2
"target_clothing, shoes & accessories_women's clothing_tops_tank tops_wild fable_women's graphic cami - wild fable",target,"clothing, shoes & accessories > women's clothing > tops > tank tops",Apparel,Tops,null,Women's,lacrosse,null,1240568.0,936,1575,2
nordstrom_shoes_rnget knee high boot saistnx,nordstrom,shoes,Footwear,null,null,Men's,wrestling,training_other,23678.0,9489,11788,1
academy_sports_men's_men's shoes + boots_men's shoes by sport_men's running shoes_nike_nike men's air max motion 2 running shoes,academy_sports,men's > men's shoes + boots > men's shoes by sport > men's running shoes,Footwear,null,null,Men's,training,cross_training,2.514684E7,1,9,1
"costco_clothing, luggage & handbags_mndta pant",costco,"clothing, luggage & handbags",Apparel,Bottoms,Pants,Unisex/Undefined,cheer_dance,null,1.9353944E7,7,18,2
scheels_bibs & overalls_sitka_men's sitka incinerator aerolite bibs,scheels,bibs & overalls,Apparel,Bottoms,Baselayer Bottoms,Men's,lacrosse,null,2421701.0,1,45,3
macys_men_polos_ralph lauren_men's  big pony custom slim fit mesh polo,macys,men > polos,Apparel,Tops,null,Men's,baseball,null,8263762.0,30,38,1
champs_sports_shoes_casual sneakers_casual sneakers_puma_puma defy mid - women's,champs_sports,shoes > casual sneakers > casual sneakers,Apparel,Other Apparel,null,Women's,soccer,null,2184685.0,39,18,1
kohls_mens_clothing_tops_tops & tees_marvel_marvel_big & tall marvel retro 1941 captain america stance tee,kohls,mens > clothing > tops > tops & tees > marvel,Apparel,Tops,null,Men's,training,null,1.0913482E8,1,1,1
"costco_clothing, luggage & handbags_hrly jogger",costco,"clothing, luggage & handbags",Apparel,Bottoms,Fleece Bottoms,Unisex/Undefined,gymnastics,null,1.618492E7,1,24,2
macys_shoes_finish line women's shoes_lacoste_women's l002 casual court sneakers from finish line,macys,shoes > finish line women's shoes,Footwear,null,null,Women's,tennis,indoor_soccer,125503.0,1166,5158,1
kids_foot_locker_shoes_casual sneakers_casual sneakers_adidas_adidas originals campus 00s - boys' grade school,kids_foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Other Apparel,null,Men's,tennis,null,7551736.0,13,6,1
abercrombie_and_fitch_men's_clearance_bottoms_pants_abercrombie & fitch_slim taper pull-on pant,abercrombie_and_fitch,men's > clearance > bottoms > pants,Apparel,Bottoms,Other Bottoms,Men's,swimming,null,1660799.0,11,58,2
kids_foot_locker_shoes_casual sneakers_casual sneakers_nike_nike air max 90  - boys' grade school,kids_foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Other Apparel,null,Kids,null,null,5.2919055E7,2,2,2
"amazon_clothing, shoes & jewelry_shoe, jewelry & watch accessories_shoe care & accessories_shoe care treatments & dyes_shoe care kits_diagonalone_6 pairs crease protectors for air force 1, jordan 1, dunk low - anti crease guard & shoe protector",amazon_leia,"clothing, shoes & jewelry > shoe, jewelry & watch accessories > shoe care & accessories > shoe care treatments & dyes > shoe care kits",Footwear,null,null,Unisex/Undefined,sportswear,sportswear_basketball,1777100.0,635,92,2
academy_sports_kids_kids shoes_kids shop by sport_kids running shoes_boys running shoes_under armour_under armour kids' pre-school pursuit ng ac running shoes,academy_sports,kids > kids shoes > kids shop by sport > kids running shoes > boys running shoes,Footwear,null,null,Kids,running,road_running,1.7157162E7,3,2,2
"amazon_clothing, shoes & jewelry_women_women's shoes_women's fashion sneakers_betsey johnson_betsey johnson women's sidny sneaker",amazon_leia,"clothing, shoes & jewelry > women > women's shoes > women's fashion sneakers",Footwear,null,null,Women's,flip_flops,null,9724281.0,63,181,1
"amazon_clothing, shoes & jewelry_boy's clothing, shoes & jewelry_boys' clothing_boys' activewear_boys' athletic pants_under armour_under armour boys' brawler 2.0 tapered pants",amazon_leia,"clothing, shoes & jewelry > boy's clothing, shoes & jewelry > boys' clothing > boys' activewear > boys' athletic pants",Apparel,Bottoms,Pants,Men's,wrestling,null,7954291.0,72,212,1
"lululemon_women's clothes_pants_lululemon_softstreme high-rise pant *regular, black",lululemon,women's clothes > pants,Apparel,Bottoms,Pants,Women's,training,null,3.7488383E7,2,6,3
macys_men_all men's shoes_stacy adams_men's moxley knit plain toe lace shoes,macys,men > all men's shoes,Footwear,null,null,Men's,basketball,basketball_other,211982.0,733,1993,1
"amazon_clothing, shoes & jewelry_women_women's shoes_women's loafers & slip-ons_sperry_sperry womens a/o 2-eye boat shoe",amazon_leia,"clothing, shoes & jewelry > women > women's shoes > women's loafers & slip-ons",Footwear,null,null,Women's,sportswear,sportswear_soccer,1970577.0,577,2184,2
"target_clothing, shoes & accessories_men's clothing_coats & jackets_goodfellow & co_men's lightweight puffer jacket - goodfellow & co",target,"clothing, shoes & accessories > men's clothing > coats & jackets",Apparel,Jackets & Outerwear,null,Men's,ski_snowboard,null,9223564.0,8,81,1
"lululemon_accessories_bags_lululemon_everywhere belt bag 1l, flush pink",lululemon,accessories > bags,Apparel,Other Apparel,null,Men's,training,null,8399985.0,2,37,54
kohls_tops_tek gear_men's tek gear® ultra soft fleece hoodie,kohls,tops,Apparel,Tops,null,Men's,hiking,null,9.1034309E7,2,2,1
